id_comisaria,comuna,tipo,numero_real_comisaria,cuadrante_comisaría,cuadrantes_asignados,id_patrullas_asignadas,total_patrullas_por_comisaria,presupuesto_diario_comisaria
1,Santiago,comisaria,1,1,"1,9","1,2",2,480235
2,Santiago,comisaria,32,2,"2,4,6,8","3,4",2,480235
3,Santiago,comisaria,3,3,"3,5","5,6",2,480235
4,Santiago,comisaria,28,10,10,"7,8",2,480235
5,Santiago,comisaria,4,15,"13,14,15,16","9,10",2, 480235
6,Santiago,comisaria,48,11,"11,17","11,12",2,480235
7,Santiago,comisaria,2,12,"7,12,18","13,14",2,480235
8,La Florida,comisaria,61,20,"19,20,21,22,23","15,16",2, 762329
9,La Florida,comisaria,36,28,"27,28,29,30,31","17,18,19",3, 762329
10,La Florida,subcomisaria,Los Jardines,25,"24,25,26",20,1, 481164
11,La Florida,subcomisaria,Los Quillayes,33,"32,33,34",21,1, 481164
12,Macul,comisaria,46,41,"35,36,37,38,39,40,41,42,43,44","22,23,24",3,758904
13,Ñuñoa,comisaria,18,46,"45,46,47,48,49,50,51,52","25,26",2,624658
14,Ñuñoa,comisaria,33,59,"53,54,55,56,57,58,59,60,61","27,28",2,624658
15,San Joaquin,comisaria,40,63,"62,63,64,65,66,67,68","29,30",2,430685
16,San Miguel,comisaria,12,71,"69,70,71,72,73,74",31,1,442466
17,La Granja,subcomisaria,Parque Brasil,75,"75,76",32,1,158128
18,La Granja,comisaria,13,77,"77,78,79,80",33,1,327740
